date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2020-06-15,1592260984,101,269,0,1592175000,1592197200
2020-06-16,1592345528,100,271,0,1592260140,1592282400
2020-06-17,1592432288,145,278,0,1592343120,1592368500
2020-06-18,1592518744,85,270,0,1592432880,1592454180
2020-06-19,1592604483,121,278,0,1592519400,1592543340
2020-06-20,1592690828,227,217,0,1592605980,1592632620
2020-06-21,1592776986,149,305,0,1592692440,1592719680
2020-06-22,1592863270,87,280,3,1592779380,1592801580
2020-06-23,1592950446,116,253,0,1592865660,1592887800
2020-06-24,1593036128,110,227,0,1592951700,1592971920
2020-06-25,1593122889,147,179,0,1593041340,1593060900
2020-06-26,1593208942,149,184,0,1593126840,1593146820
2020-06-27,1593296285,142,302,0,1593208740,1593235380
2020-06-28,1593361441,73,330,0,1593299280,1593323460
2020-06-15,1592260984,101,269,0,1592175000,1592197200
2020-06-16,1592345528,100,271,0,1592260140,1592282400
2020-06-17,1592432288,145,278,0,1592343120,1592368500
2020-06-18,1592518744,85,270,0,1592432880,1592454180
2020-06-19,1592604483,121,278,0,1592519400,1592543340
2020-06-20,1592690828,227,217,0,1592605980,1592632620
2020-06-21,1592776986,149,305,0,1592692440,1592719680
2020-06-22,1592863270,87,280,3,1592779380,1592801580
2020-06-23,1592950446,116,253,0,1592865660,1592887800
2020-06-24,1593036128,110,227,0,1592951700,1592971920
2020-06-25,1593122889,147,179,0,1593041340,1593060900
2020-06-26,1593208942,149,184,0,1593126840,1593146820
2020-06-27,1593296285,142,302,0,1593208740,1593235380
2020-06-28,1593361441,73,330,0,1593299280,1593323460
